return_id,order_id,order_item_id,product_id,return_date,quantity_returned,return_reason,refund_amount
53,3360,6678,1065,2025-07-14,1,Color not as expected,198.0
54,1882,3788,697,2025-07-31,1,Color not as expected,48.0
55,3474,6915,620,2025-07-29,1,Too large,65.0
56,2302,4639,604,2025-03-19,1,Too large,65.0
57,626,1243,306,2025-02-13,1,Too small,102.0
58,2133,4310,639,2025-06-04,1,Quality issue,60.0
59,112,231,404,2025-03-30,1,Changed mind,102.0
60,1339,2679,892,2025-05-29,1,Quality issue,94.0
61,26,51,140,2025-07-01,1,Too large,124.0
62,3408,6781,83,2025-05-18,1,Too large,114.0
63,89,178,198,2025-04-13,1,Too large,56.8
64,2236,4521,276,2025-11-12,1,Too large,71.0
65,309,626,459,2025-07-04,1,Color not as expected,109.0
66,590,1175,289,2025-11-23,1,Late delivery,65.0
67,253,512,431,2025-07-12,1,Quality issue,117.0
68,2538,5077,170,2025-04-02,1,Changed mind,102.85
69,2695,5381,102,2025-08-06,1,Late delivery,111.0
70,3184,6329,234,2025-07-21,1,Color not as expected,69.0
71,966,1927,332,2025-02-06,1,Late delivery,125.4
72,2260,4569,585,2025-11-28,1,Too large,134.0
73,1574,3167,845,2025-05-23,1,Color not as expected,46.8
74,1912,3850,744,2025-03-22,1,Quality issue,43.35
75,1364,2727,71,2025-10-09,1,Color not as expected,111.0
76,3237,6426,789,2025-02-07,1,Changed mind,54.0
77,1876,3775,1085,2025-05-09,1,Late delivery,212.0
78,1763,3545,656,2025-02-26,1,Color not as expected,48.0
79,236,474,905,2025-12-12,1,Too large,77.0
80,1224,2437,933,2025-06-17,1,Too large,66.5
81,1020,2035,947,2025-07-13,1,Color not as expected,86.0
82,1336,2674,466,2025-05-27,1,Late delivery,101.0
83,2975,5922,97,2025-11-02,1,Too small,109.8
84,1760,3540,369,2025-03-28,1,Too large,102.0
85,2516,5034,586,2025-09-11,1,Too large,118.0
86,2922,5826,936,2025-05-26,1,Color not as expected,82.0
87,3117,6208,459,2025-11-21,1,Too large,109.0
88,2227,4508,170,2025-04-09,1,Changed mind,121.0
89,1191,2365,365,2025-03-24,1,Too small,107.0
90,2431,4887,475,2025-07-16,1,Quality issue,136.0
91,553,1109,75,2025-07-16,1,Late delivery,111.6
92,132,264,864,2025-08-25,1,Late delivery,105.45
93,1441,2888,220,2025-10-31,1,Color not as expected,60.0
94,1783,3600,617,2025-10-07,1,Color not as expected,48.0
95,2010,4054,479,2025-04-09,1,Color not as expected,118.75
96,3058,6093,518,2025-07-13,1,Too small,125.0
97,703,1407,248,2025-12-28,1,Late delivery,59.0
98,721,1439,157,2025-07-20,1,Too small,117.0
99,656,1316,123,2025-11-09,1,Too large,76.2
100,1834,3704,876,2025-03-17,1,Late delivery,83.7
101,1294,2587,13,2025-06-10,1,Too small,106.2
102,639,1282,307,2025-04-28,1,Late delivery,105.0
103,2025,4086,714,2025-04-14,1,Too small,54.0
104,2983,5940,814,2025-01-29,1,Too small,55.0
105,1734,3488,583,2025-09-17,1,Changed mind,107.2
106,3217,6386,271,2025-06-01,1,Changed mind,61.0
107,592,1177,52,2025-06-23,1,Too small,84.8
108,1075,2134,396,2025-08-30,1,Too large,104.0
109,1450,2917,499,2025-04-24,1,Too large,86.1
110,1494,3004,91,2025-07-14,1,Quality issue,128.0
111,1569,3160,777,2025-02-05,1,Changed mind,65.0
112,193,394,100,2025-08-10,1,Color not as expected,127.0
113,1771,3568,622,2025-07-11,1,Color not as expected,51.2
114,373,757,159,2025-09-01,1,Quality issue,99.0
115,2726,5446,160,2025-04-01,1,Too large,72.8
116,1045,2081,752,2025-09-08,1,Too small,43.2
117,3135,6249,810,2025-03-25,1,Color not as expected,55.0
118,875,1748,456,2025-10-07,1,Quality issue,119.0
119,1001,1993,761,2025-07-01,1,Changed mind,55.25
120,1456,2930,148,2025-09-17,1,Late delivery,125.0
121,37,80,31,2025-12-02,1,Color not as expected,98.1
122,1775,3579,646,2025-09-22,1,Quality issue,66.0
123,1741,3498,558,2025-06-10,1,Quality issue,119.0
124,2599,5193,633,2025-02-27,1,Quality issue,57.0
125,852,1703,857,2025-06-25,1,Too large,83.2
126,3197,6353,138,2025-01-27,1,Color not as expected,99.0
127,248,497,764,2025-07-08,1,Too small,49.0
128,1076,2139,891,2025-12-20,1,Too small,111.0
129,893,1787,765,2025-05-18,1,Late delivery,56.7
130,2137,4316,109,2025-04-30,1,Late delivery,89.1
131,1922,3872,1077,2025-11-11,1,Quality issue,194.75
132,879,1756,304,2025-10-04,1,Late delivery,129.0
133,362,737,704,2025-06-01,1,Too small,68.0
134,2003,4033,163,2025-10-29,1,Too large,111.0
135,367,748,410,2025-10-12,1,Too large,106.0
136,814,1621,771,2025-04-21,1,Changed mind,58.0
137,1835,3706,426,2025-06-12,1,Quality issue,122.0
138,729,1455,340,2025-05-19,1,Late delivery,125.0
139,2814,5615,203,2025-03-14,1,Color not as expected,68.0
140,3442,6852,375,2025-07-10,1,Too small,108.0
141,754,1500,701,2025-07-20,1,Changed mind,38.4
142,1407,2822,1016,2025-12-04,1,Late delivery,194.0
143,1626,3264,746,2025-11-17,1,Too small,64.0
144,605,1196,855,2025-06-06,1,Quality issue,96.0
145,1534,3083,817,2025-03-21,1,Color not as expected,57.0
146,1900,3820,96,2025-02-15,1,Too small,110.0
147,1123,2226,212,2025-05-05,1,Color not as expected,77.0
148,1061,2108,712,2025-07-26,1,Color not as expected,60.0
149,525,1056,496,2025-02-20,1,Color not as expected,124.0
150,406,829,897,2025-05-07,1,Late delivery,116.0
151,918,1841,457,2025-04-09,1,Too small,114.0
152,2100,4230,41,2025-10-06,1,Late delivery,110.0
153,2393,4811,147,2025-12-17,1,Changed mind,99.0
154,931,1865,820,2025-08-04,1,Too small,44.0
155,2591,5181,370,2025-10-29,1,Quality issue,111.0
156,2724,5440,12,2025-06-10,1,Too small,102.0
157,502,1010,291,2025-02-21,1,Too large,55.1
158,113,234,699,2025-10-29,1,Quality issue,62.0
159,1942,3905,931,2025-06-20,1,Changed mind,76.95
160,2801,5585,201,2025-03-20,1,Changed mind,61.0
161,228,458,1022,2025-02-16,1,Changed mind,180.0
162,203,409,971,2025-02-13,1,Color not as expected,148.5
163,1983,3986,843,2025-04-08,1,Changed mind,102.6
164,2169,4380,1026,2025-11-27,1,Too small,166.0
165,2485,4978,579,2025-11-30,1,Too large,146.0
166,1649,3313,777,2025-07-07,1,Quality issue,58.5
167,2446,4910,305,2025-12-26,1,Quality issue,136.0
168,775,1540,233,2025-04-17,1,Late delivery,76.0
169,2964,5903,937,2025-11-29,1,Late delivery,63.2
170,3290,6535,271,2025-04-09,1,Changed mind,42.7
171,1420,2848,506,2025-11-24,1,Too large,122.0
172,3110,6193,704,2025-05-23,1,Too large,64.6
173,1128,2240,959,2025-03-12,1,Late delivery,226.0
174,536,1076,666,2025-10-14,1,Changed mind,61.2
175,233,470,660,2025-05-01,1,Too small,48.0
176,3261,6473,380,2025-04-20,1,Too large,100.0
177,988,1966,967,2025-05-02,1,Quality issue,167.0
178,873,1745,575,2025-07-06,1,Too small,115.0
179,2145,4330,1090,2025-12-04,1,Quality issue,176.0
180,2862,5713,66,2025-07-01,1,Changed mind,113.0
181,516,1039,367,2025-11-29,1,Too small,107.0
182,947,1892,534,2025-03-21,1,Color not as expected,116.0
183,2206,4465,692,2025-10-07,1,Too small,55.0
184,815,1624,757,2025-08-17,1,Color not as expected,48.0
185,1200,2390,106,2025-07-16,1,Late delivery,121.0
186,994,1980,389,2025-03-24,1,Late delivery,105.0
187,2921,5823,732,2025-05-17,1,Quality issue,52.0
188,1225,2442,245,2025-02-04,1,Too small,75.0
189,2894,5774,516,2025-05-06,1,Too small,112.0
190,3422,6812,732,2025-07-19,1,Color not as expected,52.0
191,3363,6682,866,2025-07-30,1,Too large,99.75
192,1980,3979,859,2025-06-21,1,Changed mind,110.0
193,217,438,1000,2025-05-29,1,Late delivery,208.0
194,3227,6403,138,2025-05-04,1,Too small,99.0
195,933,1868,151,2025-06-26,1,Quality issue,115.0
196,3258,6468,148,2025-06-12,1,Late delivery,125.0
197,2472,4954,345,2025-05-08,1,Late delivery,128.25
198,378,765,906,2025-10-19,1,Too small,73.15
199,1232,2458,1033,2025-11-25,1,Too large,151.05
200,3102,6181,177,2025-09-17,1,Too large,92.7
201,1415,2837,140,2025-09-05,1,Changed mind,111.6
202,3418,6799,765,2025-04-04,1,Too large,63.0
203,1065,2116,315,2025-02-08,1,Quality issue,137.0
204,786,1562,852,2025-07-27,1,Quality issue,115.0
205,3384,6734,731,2025-10-20,1,Too small,55.0
206,3020,6025,885,2025-06-05,1,Quality issue,110.0
207,900,1802,61,2025-02-10,1,Quality issue,125.0
208,881,1761,250,2025-01-11,1,Late delivery,77.0
209,3375,6712,422,2025-04-19,1,Too small,44.8
210,106,218,867,2025-12-15,1,Changed mind,110.0
211,518,1043,280,2025-02-17,1,Too large,71.0
212,516,1040,683,2025-11-10,1,Changed mind,57.0
213,1767,3555,636,2025-09-16,1,Changed mind,63.65
214,1641,3296,199,2025-02-01,1,Quality issue,64.6
215,1338,2678,112,2025-02-04,1,Quality issue,120.0
216,1306,2610,102,2025-04-10,1,Late delivery,111.0
217,1188,2358,751,2025-05-06,1,Quality issue,45.6
218,2327,4698,775,2025-12-03,1,Late delivery,55.0
219,1811,3654,489,2025-02-10,1,Color not as expected,125.0
220,3078,6128,612,2025-08-12,1,Too large,59.0
221,633,1262,640,2025-07-16,1,Color not as expected,60.0
222,2515,5031,912,2025-02-13,1,Too small,54.4
223,92,186,780,2025-06-22,1,Quality issue,49.0
224,1266,2527,852,2025-11-28,1,Too small,109.25
225,2006,4042,29,2025-05-08,1,Late delivery,112.0
226,2958,5888,340,2025-08-15,1,Too large,125.0
227,2686,5366,1033,2025-10-23,1,Quality issue,95.4
228,1580,3177,781,2025-05-15,1,Color not as expected,58.0
229,3074,6123,283,2025-09-28,1,Color not as expected,76.0
230,1738,3495,1060,2025-12-14,1,Too large,107.8
231,3451,6865,95,2025-12-25,1,Quality issue,125.0
232,3083,6141,817,2025-11-26,1,Too small,57.0
233,2260,4568,329,2025-11-09,1,Too small,127.0
234,1968,3962,434,2025-05-26,1,Late delivery,129.0
235,1396,2795,859,2025-06-29,1,Quality issue,110.0
236,1904,3834,196,2025-08-06,1,Too large,74.0
237,2633,5272,986,2025-08-25,1,Quality issue,167.2
238,85,170,199,2025-08-09,1,Changed mind,68.0
239,1454,2927,408,2025-11-19,1,Color not as expected,99.0
240,1286,2571,65,2025-05-21,1,Quality issue,95.4
241,1770,3564,150,2025-06-03,1,Quality issue,100.8
242,1741,3500,25,2025-06-24,1,Late delivery,106.0
243,2840,5669,1069,2025-07-04,1,Changed mind,167.4
244,2155,4351,277,2025-01-17,1,Changed mind,65.0
245,1733,3484,74,2025-04-21,1,Color not as expected,113.0
246,3326,6613,954,2025-11-06,1,Too large,174.0
247,2046,4130,869,2025-10-22,1,Color not as expected,82.45
248,2826,5641,55,2025-02-10,1,Too large,109.0
249,414,843,493,2025-01-28,1,Too small,123.0
250,1536,3090,385,2025-02-04,1,Too large,105.4
251,2826,5644,113,2025-01-29,1,Too small,93.5
252,2277,4595,1035,2025-05-21,1,Too small,187.0
253,90,180,90,2025-12-27,1,Changed mind,79.1
254,409,834,312,2025-03-15,1,Changed mind,119.0
255,3407,6780,614,2025-06-26,1,Late delivery,55.0
256,2513,5029,164,2025-07-20,1,Late delivery,101.7
257,1450,2918,19,2025-04-22,1,Too small,115.0
258,1271,2544,904,2025-07-01,1,Too small,51.1
259,1428,2863,274,2025-11-21,1,Color not as expected,69.3
260,3159,6290,423,2025-06-20,1,Changed mind,72.8
261,274,562,888,2025-07-03,1,Quality issue,96.0
262,508,1021,63,2025-05-23,1,Changed mind,85.0
263,1286,2572,835,2025-04-27,1,Color not as expected,39.95
264,2093,4221,433,2025-03-29,1,Changed mind,108.9
265,84,169,222,2025-05-12,1,Late delivery,59.0
266,1065,2118,576,2025-01-31,1,Color not as expected,111.0
267,1772,3572,595,2025-11-03,1,Quality issue,148.0
268,2719,5426,70,2025-05-10,1,Late delivery,98.0
269,3255,6462,357,2025-04-29,1,Too small,109.0
270,890,1783,711,2025-07-12,1,Too small,62.0
271,351,713,59,2025-03-18,1,Too large,115.2
272,2495,4995,353,2025-02-07,1,Quality issue,108.0
273,2180,4405,272,2025-01-28,1,Color not as expected,69.0
274,426,866,708,2025-02-09,1,Color not as expected,49.0
275,2297,4631,921,2025-03-04,1,Quality issue,84.0
276,2582,5161,65,2025-09-03,1,Changed mind,106.0
277,2610,5219,252,2025-11-28,1,Too large,63.0
278,1765,3552,755,2025-03-13,1,Too large,44.0
279,1653,3319,994,2025-08-11,1,Color not as expected,144.8
280,1479,2973,704,2025-07-16,1,Too small,68.0
281,3038,6062,380,2025-10-28,1,Late delivery,100.0
282,2819,5625,630,2025-10-04,1,Too large,64.0
283,659,1322,66,2025-01-28,1,Too small,113.0
284,1795,3622,1018,2025-04-09,1,Color not as expected,148.0
285,398,812,610,2025-07-09,1,Too large,57.8
286,2441,4902,218,2025-01-22,1,Too large,67.0
287,266,545,677,2025-04-28,1,Late delivery,52.0
288,821,1635,532,2025-04-20,1,Changed mind,135.85
289,496,1003,484,2025-06-25,1,Late delivery,109.6
290,3477,6921,794,2025-03-21,1,Too large,45.0
291,1544,3110,539,2025-06-25,1,Too large,112.1
292,2393,4813,8,2025-12-17,1,Late delivery,122.0
293,1106,2192,611,2025-11-15,1,Too large,64.0
294,1879,3781,845,2025-03-23,1,Color not as expected,117.0
295,773,1537,285,2025-11-16,1,Quality issue,78.0
296,3109,6192,987,2025-03-05,1,Changed mind,227.0
297,2907,5799,1024,2025-01-31,1,Too large,210.0
298,2764,5521,35,2025-01-20,1,Changed mind,120.0
299,2189,4424,306,2025-08-24,1,Late delivery,102.0
300,671,1346,85,2025-11-23,1,Color not as expected,95.2
301,3330,6622,221,2025-03-16,1,Late delivery,68.0
302,2477,4966,258,2025-04-01,1,Quality issue,70.3
303,3158,6287,716,2025-11-01,1,Color not as expected,55.0
304,46,96,154,2025-08-12,1,Late delivery,113.0
305,1028,2046,189,2025-12-21,1,Too small,24.0
306,264,539,778,2025-07-29,1,Too small,38.4
307,838,1671,488,2025-02-19,1,Color not as expected,115.0
308,3301,6555,52,2025-08-18,1,Too small,95.4
309,2181,4406,134,2025-07-18,1,Late delivery,115.2
310,1733,3483,362,2025-04-09,1,Quality issue,99.0
311,1761,3543,549,2025-11-22,1,Late delivery,138.0
312,283,577,726,2025-10-09,1,Too small,34.3
313,1766,3553,873,2025-04-07,1,Too large,99.0
314,1944,3909,166,2025-06-30,1,Late delivery,122.0
315,2742,5478,770,2025-09-24,1,Color not as expected,51.0
316,1900,3821,116,2025-01-26,1,Quality issue,102.0
317,213,430,699,2025-07-23,1,Too small,62.0
318,3400,6766,365,2025-10-16,1,Quality issue,107.0
319,332,677,305,2025-11-06,1,Too large,136.0
320,2822,5634,700,2025-11-22,1,Color not as expected,58.0
321,960,1919,1028,2025-11-10,1,Quality issue,162.0
322,2847,5685,94,2025-05-28,1,Color not as expected,106.0
323,2608,5214,679,2025-02-14,1,Quality issue,45.6
324,2559,5118,1069,2025-08-09,1,Too small,186.0
325,2429,4884,412,2025-11-12,1,Too large,106.0
326,3371,6699,772,2025-10-22,1,Too large,62.0
327,707,1415,341,2025-09-07,1,Late delivery,78.4
328,1577,3170,336,2025-09-12,1,Changed mind,79.8
329,2763,5519,64,2025-12-07,1,Too large,98.1
330,1762,3544,1104,2025-09-16,1,Color not as expected,33.3
331,2629,5260,971,2025-03-26,1,Color not as expected,148.5
332,1263,2517,112,2025-12-25,1,Changed mind,114.0
333,2487,4985,663,2025-06-20,1,Color not as expected,50.0
334,2246,4538,849,2025-10-27,1,Quality issue,115.0
335,2803,5588,498,2025-07-21,1,Color not as expected,138.0
336,1710,3435,174,2025-03-20,1,Too large,85.6
337,1671,3359,254,2025-06-07,1,Color not as expected,71.0
338,2119,4274,46,2025-05-27,1,Color not as expected,122.0
339,2480,4971,1073,2025-05-20,1,Too large,133.8
340,1116,2211,540,2025-09-08,1,Quality issue,124.0
341,2717,5422,417,2025-06-11,1,Quality issue,106.0
342,2719,5425,720,2025-05-15,1,Late delivery,52.25
343,1932,3890,62,2025-05-01,1,Color not as expected,98.0
344,862,1721,561,2025-12-27,1,Color not as expected,145.0
345,1262,2514,78,2025-04-04,1,Too large,111.6
346,663,1329,707,2025-03-20,1,Too small,63.65
347,1074,2133,311,2025-05-10,1,Color not as expected,136.0
348,3230,6409,402,2025-02-23,1,Too large,117.0
349,935,1873,323,2025-06-22,1,Color not as expected,116.85
350,603,1193,931,2025-06-23,1,Changed mind,81.0
351,1136,2261,959,2025-06-07,1,Changed mind,226.0
352,233,469,968,2025-05-19,1,Too small,160.0
353,32,62,734,2025-04-08,1,Too small,57.6
354,695,1394,154,2025-08-28,1,Quality issue,113.0
355,2566,5129,1099,2025-12-29,1,Too large,53.2
356,3254,6461,255,2025-03-03,1,Quality issue,75.0
357,1485,2985,126,2025-07-13,1,Late delivery,102.4
358,3152,6276,925,2025-11-15,1,Color not as expected,85.0
359,2460,4931,715,2025-11-19,1,Late delivery,49.5
360,748,1489,667,2025-04-26,1,Color not as expected,68.0
361,1070,2125,219,2025-07-04,1,Too small,71.0
362,2842,5675,61,2025-06-16,1,Color not as expected,118.75
363,1399,2805,35,2025-08-16,1,Too large,120.0
364,784,1559,452,2025-10-02,1,Changed mind,137.0
365,8,20,60,2025-10-20,1,Too large,118.75
366,335,684,6,2025-06-22,1,Too large,123.0
367,2856,5698,856,2025-07-22,1,Too large,92.7
368,2738,5470,427,2025-12-28,1,Too small,136.0
369,1842,3721,374,2025-12-26,1,Color not as expected,120.65
370,2349,4739,735,2025-07-13,1,Color not as expected,68.0
371,2819,5628,295,2025-10-19,1,Quality issue,55.1
372,2804,5591,743,2025-05-18,1,Too large,66.0
373,773,1536,479,2025-11-01,1,Too large,125.0
374,1114,2207,367,2025-06-05,1,Too small,107.0
375,2615,5231,102,2025-06-11,1,Late delivery,111.0
376,1123,2228,322,2025-05-06,1,Color not as expected,100.0
377,261,535,1079,2025-01-26,1,Late delivery,189.0
378,1164,2319,224,2025-04-29,1,Too small,39.6
379,2800,5584,7,2025-11-06,1,Late delivery,86.4
380,2108,4253,461,2025-11-29,1,Late delivery,138.0
381,1635,3283,444,2025-05-09,1,Changed mind,100.0
382,3476,6920,520,2025-02-15,1,Quality issue,133.0
383,2770,5534,1063,2025-05-10,1,Too small,201.0
384,1264,2522,174,2025-05-11,1,Too large,107.0
385,122,248,877,2025-12-16,1,Too small,105.3
386,543,1088,41,2025-09-17,1,Color not as expected,110.0
387,2042,4122,501,2025-10-28,1,Too large,125.0
388,1441,2891,204,2025-10-21,1,Too large,76.0
389,1147,2284,302,2025-06-04,1,Quality issue,132.0
390,1654,3321,698,2025-09-18,1,Too small,58.0
391,1977,3976,352,2025-07-03,1,Too large,106.2
392,1691,3400,300,2025-10-14,1,Too large,61.6
393,377,764,891,2025-04-08,1,Quality issue,111.0
394,3153,6278,95,2025-10-15,1,Late delivery,125.0
395,477,966,379,2025-08-14,1,Too large,51.2
396,526,1057,774,2025-03-27,1,Too small,48.6
397,1222,2433,422,2025-03-01,1,Color not as expected,112.0
398,2129,4297,608,2025-08-10,1,Too large,67.0
399,110,229,820,2025-04-28,1,Color not as expected,44.0
400,216,436,393,2025-03-26,1,Quality issue,117.0
401,1332,2664,474,2025-12-24,1,Changed mind,130.0
402,1036,2064,278,2025-09-21,1,Color not as expected,65.45
403,3281,6514,522,2025-03-08,1,Too small,113.0
404,3192,6346,39,2025-06-23,1,Changed mind,120.0
405,1915,3858,100,2025-02-07,1,Too large,107.95
406,2679,5350,728,2025-03-24,1,Too small,67.0
407,1836,3707,405,2025-10-15,1,Too large,124.0
408,1442,2893,728,2025-07-18,1,Quality issue,67.0
409,362,735,586,2025-06-08,1,Too large,118.0
410,2657,5315,555,2025-06-09,1,Too small,145.0
411,1453,2926,249,2025-03-13,1,Too large,61.0
412,714,1426,385,2025-03-13,1,Changed mind,124.0
413,1211,2414,702,2025-04-02,1,Too small,43.4
414,2618,5236,582,2025-11-01,1,Quality issue,140.0
415,657,1318,462,2025-11-02,1,Too large,103.0
416,1981,3983,1080,2025-01-25,1,Too small,170.0
417,1158,2307,544,2025-11-08,1,Changed mind,117.0
418,14,32,164,2025-11-01,1,Color not as expected,113.0
419,1921,3870,365,2025-06-19,1,Too small,107.0
420,462,938,565,2025-09-27,1,Changed mind,129.0
421,1706,3425,671,2025-06-12,1,Late delivery,52.0
422,1417,2841,107,2025-04-03,1,Late delivery,113.0
423,3010,5997,844,2025-06-25,1,Color not as expected,116.0
424,535,1075,175,2025-05-29,1,Quality issue,110.0
425,316,643,692,2025-12-08,1,Too small,30.25
426,262,536,689,2025-05-22,1,Quality issue,57.0
427,744,1484,22,2025-03-12,1,Late delivery,115.0
428,2182,4408,737,2025-02-23,1,Color not as expected,62.0
429,1227,2446,368,2025-09-05,1,Quality issue,98.0
430,2453,4921,664,2025-12-18,1,Color not as expected,61.2
431,8,18,720,2025-10-19,1,Too small,33.0
432,47,97,442,2025-06-20,1,Too small,126.35
433,2102,4237,252,2025-08-02,1,Too large,63.0
434,1542,3104,659,2025-12-09,1,Too small,49.5
435,518,1042,159,2025-02-09,1,Changed mind,99.0
436,79,157,850,2025-07-01,1,Too small,111.0
437,610,1211,199,2025-10-09,1,Too large,68.0
438,647,1298,905,2025-10-14,1,Late delivery,77.0
439,3014,6006,565,2025-05-01,1,Color not as expected,122.55
440,1541,3103,667,2025-08-20,1,Changed mind,64.6
441,159,320,714,2025-06-07,1,Too large,32.4
442,1052,2095,890,2025-10-26,1,Too large,90.0
443,1583,3182,930,2025-03-10,1,Color not as expected,55.3
444,1780,3593,524,2025-02-20,1,Too small,118.0
445,2217,4488,547,2025-07-03,1,Changed mind,137.0
446,160,322,1076,2025-08-17,1,Too small,173.0
447,1020,2032,173,2025-06-30,1,Late delivery,127.0
448,212,426,824,2025-10-02,1,Color not as expected,50.0
449,2082,4196,904,2025-07-17,1,Changed mind,73.0
450,947,1894,813,2025-04-11,1,Changed mind,50.0
451,1506,3026,285,2025-03-10,1,Color not as expected,46.8
452,1098,2178,883,2025-10-28,1,Changed mind,105.0
453,1915,3857,895,2025-03-03,1,Late delivery,112.0
454,223,448,1070,2025-12-21,1,Too small,173.0
455,2474,4960,340,2025-09-27,1,Too small,125.0
456,348,707,56,2025-05-29,1,Color not as expected,107.0
457,2381,4794,243,2025-09-30,1,Too large,58.0
458,236,473,654,2025-12-13,1,Changed mind,50.0
459,1340,2681,320,2025-10-25,1,Too large,131.0
460,38,81,729,2025-01-26,1,Color not as expected,50.0
461,1950,3922,437,2025-06-27,1,Color not as expected,90.4
462,953,1906,50,2025-09-02,1,Late delivery,123.0
463,675,1353,1044,2025-07-20,1,Too large,215.0
464,1981,3981,607,2025-02-16,1,Changed mind,59.0
465,1938,3897,228,2025-09-12,1,Too large,71.0
466,1465,2943,149,2025-03-18,1,Too small,90.0
467,1157,2305,758,2025-11-13,1,Too large,39.2
468,3306,6568,958,2025-09-14,1,Too large,168.0
469,2101,4234,775,2025-11-08,1,Too small,55.0
470,2166,4375,294,2025-03-05,1,Too large,59.0
471,793,1583,507,2025-03-26,1,Changed mind,143.0
472,475,961,1009,2025-11-23,1,Too large,186.0
473,706,1413,829,2025-11-06,1,Late delivery,49.0
474,2898,5785,120,2025-05-19,1,Too large,113.0
475,2607,5210,88,2025-05-30,1,Color not as expected,100.8
476,3406,6779,969,2025-05-16,1,Changed mind,214.0
477,840,1673,1013,2025-08-10,1,Too large,151.2
478,918,1840,472,2025-03-28,1,Quality issue,100.7
479,2233,4517,158,2025-04-30,1,Late delivery,98.8
480,392,801,334,2025-06-05,1,Changed mind,119.0
481,3462,6890,625,2025-01-25,1,Color not as expected,63.0
482,45,94,282,2025-08-25,1,Color not as expected,53.6
483,1511,3036,609,2025-03-09,1,Quality issue,65.0
484,2856,5699,21,2025-07-19,1,Late delivery,121.0
485,952,1903,640,2025-07-01,1,Quality issue,60.0
486,3190,6339,634,2025-10-27,1,Quality issue,65.0
487,1886,3796,621,2025-12-24,1,Too small,57.0
488,1623,3255,232,2025-06-05,1,Too small,78.0
489,239,477,734,2025-04-06,1,Changed mind,64.0
490,2843,5677,724,2025-08-05,1,Late delivery,48.45
491,2084,4199,31,2025-11-20,1,Late delivery,109.0
492,2045,4127,239,2025-06-25,1,Changed mind,59.0
493,481,971,671,2025-04-09,1,Late delivery,52.0
494,1944,3908,677,2025-06-20,1,Quality issue,46.8
495,3272,6498,876,2025-07-18,1,Too small,55.8
496,1584,3183,802,2025-11-25,1,Changed mind,43.0
